id,display_name,first_name,last_name,created_by,historical_significance,prefix,suffix,title,birth_year_type,birth_year,death_year_type,death_year,gender,approved_by,approved_on,odnb_id,created_at,updated_at,search_names_all,citation,aliases
10000023,John Abercromby,John,Abercromby,2,Benedictine monk,,,,BF,1561,AF,1561,male,2,2015-02-25 00:39:35.671061,42,2015-02-25 00:39:35.673621,2015-03-11 22:32:30.165624,"John Abercromby, John, John Abercromby",,
10010033,Valentine Pyne,Valentine,Pyne,2,naval officer and soldier,,,,IN,1603,IN,1677,male,2,2015-07-11 15:51:46.795400,22932,2015-02-25 00:42:20.015917,2015-07-11 15:51:46.795214,"Valentine Pyne, Valentine, Valentine Pyne",,
10004750,John Gedde,John,Gedde,2,apiculturist,,,,IN,1647,IN,1697,male,2,2015-07-14 04:05:52.338406,50677,2015-02-25 00:40:51.904647,2015-07-14 04:05:52.338239,"John Gedde, John Geddy, John, John Gedde",,
10000006,Tomas ab Ieuan ap Rhys,Tomas,ab Ieuan ap Rhys,2,poet,,,,IN,1510,IN,1560,male,2,2015-02-25 00:39:35.384733,27210,2015-02-25 00:39:35.387565,2015-03-11 22:32:29.807406,"Tomas ab Ieuan ap Rhys, Tomas, Tomas ab Ieuan ap Rhys",,
10000007,Maredudd ab Ieuan ap Robert,Maredudd,ab Ieuan ap Robert,2,,,,,IN,1465,IN,1525,male,2,2015-02-25 00:39:35.400787,76609,2015-02-25 00:39:35.403517,2015-03-11 22:32:29.823170,"Maredudd ab Ieuan ap Robert, Maredudd, Maredudd ab Ieuan ap Robert",,
10000005,Gruffudd ab Ieuan ap Llywelyn Fychan,Gruffudd,ab Ieuan ap Llywelyn Fychan,2,poet,,,,IN,1485,IN,1553,male,2,2015-02-25 00:39:35.366910,74045,2015-02-25 00:39:35.369585,2015-03-11 22:32:29.791136,"Gruffudd ab Ieuan ap Llywelyn Fychan, Gruffudd, Gruffudd ab Ieuan ap Llywelyn Fychan",,
10000070,Hendrick Adriaen de Colonia,Hendrick,Adriaen de Colonia,2,painter,,,,IN,1668,IN,1701,male,2,2015-02-25 00:39:36.307345,74474,2015-02-25 00:39:36.311334,2015-03-11 22:32:31.179264,"Hendrick Adriaen de Colonia, Hendrick, Hendrick Adriaen de Colonia",,
10000008,Dafydd ab Owain,Dafydd,ab Owain,2,abbot of Aberconwy and bishop of St Asaph,,,,AF,1403,IN,1513,male,2,2015-07-08 03:53:27.449179,72707,2015-02-25 00:39:35.421223,2015-07-08 03:53:27.449011,"Dafydd ab Owain, Dafydd, Dafydd ab Owain",,
10000032,Sir John Acland,John,Acland,2,politician and benefactor,Sir,,,IN,1552,IN,1620,male,2,2015-07-08 03:56:43.928037,63,2015-02-25 00:39:35.787888,2015-07-08 03:56:43.927863,"John Acland, Sir John, Sir John Acland, Sir Acland, John, John Acland",,
10000033,John Acland,John,Acland,2,Church of England clergyman and writer on social issues,,,,IN,1699,IN,1796,male,2,2015-07-08 03:56:44.577303,64,2015-02-25 00:39:35.800648,2015-07-08 03:56:44.577140,"John Acland, John, John Acland",,
10000034,Jacopo Aconcio,Jacopo,Aconcio,2,theologian and military engineer,,,,CA,1520,IN,1566,male,2,2015-07-08 03:56:45.710775,69,2015-02-25 00:39:35.813815,2015-07-08 03:56:45.710584,"Jacopo Aconcio, Jacopo, Jacopo Aconcio",,
10000036,Sir Robert Acton,Robert,Acton,2,saddler and member of parliament,Sir,,,BF,1497,IN,1558,male,2,2015-07-08 03:56:48.168597,93735,2015-02-25 00:39:35.839198,2015-07-08 03:56:48.168417,"Robert Acton, Sir Robert, Sir Robert Acton, Sir Acton, Robert, Robert Acton",,
